customer_id,product_id,timestamp,product_category,purchase_amount
C0123,P100,2025-03-13 03:36:06,Clothing,47.92
C0411,P089,2025-03-21 22:32:03,Electronics,531.26
C0486,P095,2025-01-31 15:34:53,Accessories,49.01
C0822,P054,2025-03-09 18:53:57,Home,186.14
C0519,P080,2025-02-16 15:40:37,Clothing,75.0
C0638,P037,2025-02-21 16:40:09,Accessories,16.59
C0268,P030,2025-01-11 04:47:45,Food,12.96
C0037,P035,2025-03-03 21:32:41,Accessories,10.77
C0026,P027,2025-02-20 02:04:56,Food,16.65
C0037,P027,2025-02-11 15:06:51,Food,15.77
C0134,P007,2025-02-11 06:57:51,Clothing,32.19
C0431,P023,2025-02-21 14:26:38,Clothing,45.76
C0048,P036,2025-03-14 12:13:16,Food,6.47
C0266,P095,2025-02-04 04:50:36,Accessories,28.94
C0273,P048,2025-03-21 17:09:55,Home,110.92
C0754,P029,2025-03-27 05:50:59,Home,173.74
C0337,P043,2025-02-20 11:30:16,Home,197.28
C0545,P026,2025-03-30 23:45:16,Accessories,23.81
C0332,P064,2025-03-08 05:04:49,Electronics,561.85
C0412,P063,2025-02-23 05:59:31,Clothing,98.16
C0219,P067,2025-02-17 10:36:14,Food,6.7
C0089,P049,2025-03-14 06:46:22,Home,176.36
C0931,P040,2025-01-01 18:53:27,Home,61.63
C0312,P025,2025-03-11 02:34:42,Electronics,524.3
C0380,P072,2025-01-08 02:50:55,Food,15.03
C0022,P089,2025-01-09 17:05:43,Electronics,521.97
C0439,P064,2025-01-02 02:36:56,Electronics,556.93
C0166,P074,2025-03-04 14:50:23,Accessories,25.32
C0205,P064,2025-03-13 07:56:06,Electronics,434.22
C0318,P022,2025-01-19 22:25:33,Clothing,77.63
C0088,P069,2025-01-21 18:04:59,Food,10.32
C0886,P009,2025-03-18 14:07:57,Home,136.87
C0425,P068,2025-03-28 22:25:11,Home,172.66
C0117,P049,2025-03-08 08:48:02,Home,179.55
C0914,P041,2025-01-10 15:59:12,Clothing,84.72
C0678,P065,2025-03-25 07:09:11,Food,14.55
C0894,P041,2025-02-20 12:35:49,Clothing,30.4
C0335,P099,2025-02-19 03:12:37,Electronics,437.02
C0104,P050,2025-01-30 14:12:39,Home,156.81
C0261,P078,2025-01-03 22:09:41,Electronics,561.39
C0310,P088,2025-02-21 11:32:57,Food,7.48
C0869,P087,2025-02-02 20:26:14,Accessories,14.66
C0967,P084,2025-02-27 07:16:13,Home,165.76
C0894,P006,2025-01-20 15:53:43,Clothing,57.0
C0895,P097,2025-02-09 21:48:07,Electronics,453.59
C0132,P006,2025-03-13 13:27:01,Clothing,71.97
C0563,P082,2025-03-09 23:41:02,Accessories,14.5
C0398,P042,2025-03-01 20:28:24,Home,177.22
C0354,P053,2025-03-07 00:59:51,Home,146.89
C0104,P044,2025-01-27 19:30:17,Accessories,20.8
C0022,P008,2025-03-09 23:05:40,Electronics,519.84
C0428,P049,2025-01-01 07:58:05,Home,63.69
C0439,P027,2025-03-24 15:53:27,Food,9.83
C0112,P030,2025-03-14 13:20:12,Food,19.65
C0418,P005,2025-02-16 22:34:18,Accessories,37.59
C0995,P082,2025-02-10 18:57:10,Accessories,36.94
C0543,P058,2025-01-15 18:13:16,Electronics,424.53
C0893,P013,2025-03-10 01:04:06,Accessories,22.4
C0364,P045,2025-02-27 01:48:34,Accessories,41.69
C0286,P025,2025-01-16 11:27:12,Electronics,438.48
C0089,P072,2025-01-12 14:28:54,Food,9.73
C0021,P060,2025-02-22 19:47:26,Food,16.37
C0265,P022,2025-01-30 12:10:26,Clothing,75.79
C0764,P055,2025-03-02 14:14:18,Electronics,409.94
C0630,P006,2025-02-25 00:22:15,Clothing,79.89
C0545,P099,2025-01-15 13:34:47,Electronics,415.57
C0262,P046,2025-03-07 23:46:35,Home,97.67
C0627,P063,2025-03-10 09:34:03,Clothing,89.87
C0475,P085,2025-03-10 18:15:42,Clothing,92.98
C0221,P026,2025-01-05 16:55:09,Accessories,17.53
C0858,P085,2025-01-10 17:43:17,Clothing,83.18
C0945,P008,2025-01-21 23:09:15,Electronics,525.9
C0815,P091,2025-03-19 18:23:25,Clothing,51.17
C0820,P004,2025-01-30 23:06:40,Clothing,32.26
C0950,P013,2025-03-17 00:29:26,Accessories,33.95
C0892,P026,2025-02-15 20:35:30,Accessories,35.91
C0616,P087,2025-01-28 18:15:55,Accessories,14.65
C0107,P086,2025-01-20 08:30:45,Accessories,31.28
C0901,P064,2025-02-16 18:30:53,Electronics,544.73
C0437,P036,2025-03-18 14:02:31,Food,9.4
C0679,P072,2025-02-25 18:03:15,Food,19.7
C0328,P016,2025-01-11 16:25:47,Accessories,12.44
C0973,P033,2025-01-26 02:28:42,Food,9.73
C0371,P095,2025-03-03 06:44:46,Accessories,14.14
C0103,P013,2025-02-06 15:13:33,Accessories,43.53
C0136,P077,2025-03-13 06:11:06,Clothing,38.2
C0031,P088,2025-01-16 23:58:22,Food,19.28
